iter	MAE
0	1.364562783
1	1.36094605
2	1.358016676
3	1.354524077
4	1.349842685
5	1.345894591
6	1.342121792
7	1.339591265
8	1.337329029
9	1.334731373
10	1.331582317
11	1.32841067
12	1.326515571
13	1.324558942
14	1.322463015
15	1.3198584
16	1.317457608
17	1.315617989
18	1.314294091
19	1.312017862
20	1.310078557
21	1.308281155
22	1.306387857
23	1.304701855
24	1.303522589
25	1.302019998
26	1.299979046
27	1.298612439
28	1.297277278
29	1.296265659
30	1.29522522
31	1.294014027
32	1.292980257
33	1.291835323
34	1.290954008
35	1.289538011
36	1.288744765
37	1.287278119
38	1.285909995
39	1.284544087
40	1.283757074
41	1.282558408
42	1.281602361
43	1.280574107
44	1.279725356
45	1.278336029
46	1.277790479
47	1.277112482
48	1.276147169
49	1.27482002
50	1.274028549
51	1.273358234
52	1.272610783
53	1.271404
54	1.270295952
55	1.269402274
56	1.268632191
57	1.267882107
58	1.266985684
59	1.26598927
60	1.264915678
61	1.264356179
62	1.263375138
63	1.262618217
64	1.261941749
65	1.260986985
66	1.26030466
67	1.259781333
68	1.259144859
69	1.258704181
70	1.258148687
71	1.256983563
72	1.256543987
73	1.255456344
74	1.254805056
75	1.254206379
76	1.253628197
77	1.253008985
78	1.252546821
79	1.251984202
80	1.251573256
81	1.250854274
82	1.250100095
83	1.249394782
84	1.248856288
85	1.248301088
86	1.2476814
87	1.247118722
88	1.24673806
89	1.246060212
90	1.24549681
91	1.24505776
92	1.244698488
93	1.244224946
94	1.243738823
95	1.242795199
96	1.242204156
97	1.241681712
98	1.24093158
99	1.240472645
100	1.240023819
101	1.239677007
102	1.238897569
103	1.238342932
104	1.237742257
105	1.237371056
106	1.236981762
107	1.236510562
108	1.236295486
109	1.235358514
110	1.234965921
111	1.234500888
112	1.233987046
113	1.233100851
114	1.23280545
115	1.232364087
116	1.231872727
117	1.231522361
118	1.231119638
119	1.230761047
120	1.230417423
121	1.230025583
122	1.229595848
123	1.2291858
124	1.228654036
125	1.228265823
126	1.227851622
127	1.227397587
128	1.226910839
129	1.22649809
130	1.226181969
131	1.225629493
132	1.225313251
133	1.224983395
134	1.224617449
135	1.224074321
136	1.223747888
137	1.22322466
138	1.222504168
139	1.221882549
140	1.221557291
141	1.22113583
142	1.220631449
143	1.220171912
144	1.219689881
145	1.21916437
146	1.218763955
147	1.218315764
148	1.217880836
149	1.217559894
150	1.217299255
151	1.216857085
152	1.216178106
153	1.215787652
154	1.215431139
155	1.215187213
156	1.214677139
157	1.214226734
158	1.213970636
159	1.213487975
160	1.21289653
161	1.212540717
162	1.212190776
163	1.211963943
164	1.211568551
165	1.211299471
166	1.210942571
167	1.21062859
168	1.210119261
169	1.209669439
170	1.209395521
171	1.208898673
172	1.208429728
173	1.207906178
174	1.207534051
175	1.20724117
176	1.206938338
177	1.206574664
178	1.20609616
179	1.205665047
180	1.205329387
181	1.204987906
182	1.204577406
183	1.204153924
184	1.203736393
185	1.203333393
186	1.202807833
187	1.202396113
188	1.202032886
189	1.201641101
190	1.201342346
191	1.201029714
192	1.200741456
193	1.200400802
194	1.200017047
195	1.199625995
196	1.199332977
197	1.198969036
198	1.198752313
199	1.198409614
200	1.198025822
201	1.197730706
202	1.197492964
203	1.197191202
204	1.196560183
205	1.196111223
206	1.195801891
207	1.195250104
208	1.194794581
209	1.194338221
210	1.193998378
211	1.193672508
212	1.193273747
213	1.192984029
214	1.192646537
215	1.192312378
216	1.191757121
217	1.191413688
218	1.191093541
219	1.190414201
220	1.190145079
221	1.18961456
222	1.189195605
223	1.18892422
224	1.188478642
225	1.188129077
226	1.187868366
227	1.187343571
228	1.186472316
229	1.18608835
230	1.185683346
231	1.185263258
232	1.184944474
233	1.184477729
234	1.184075148
235	1.183694145
236	1.183303021
237	1.182913925
238	1.182512113
239	1.182109542
240	1.18159021
241	1.181136484
242	1.180578033
243	1.180328551
244	1.179921444
245	1.179440391
246	1.179018297
247	1.178579437
248	1.178155891
249	1.177849128
250	1.177348386
251	1.176931879
252	1.176613604
253	1.176225591
254	1.175912444
255	1.175625956
256	1.175143595
257	1.174825348
258	1.174505282
259	1.174038103
260	1.173617649
261	1.173332978
262	1.172983246
263	1.172587719
264	1.172281934
265	1.1720499
266	1.171774935
267	1.17144918
268	1.171164033
269	1.170773892
270	1.170444346
271	1.170096392
272	1.169843456
273	1.169500989
274	1.169270416
275	1.168772503
276	1.168474416
277	1.168150252
278	1.167808921
279	1.167613182
280	1.167411143
281	1.16696744
282	1.166692367
283	1.166117196
284	1.165654509
285	1.165297061
286	1.165067073
287	1.164690224
288	1.164309457
289	1.164012679
290	1.163563698
291	1.163350934
292	1.163116834
293	1.162835308
294	1.162343282
295	1.162036261
296	1.161436559
297	1.161092863
298	1.160761708
299	1.160354851
