iter	Passed	Remaining
0	12	3666
1	25	3812
2	38	3763
3	50	3732
4	66	3904
5	79	3911
6	93	3902
7	106	3881
8	118	3831
9	130	3771
10	141	3706
11	151	3647
12	162	3592
13	173	3549
14	185	3525
15	197	3499
16	213	3552
17	226	3556
18	241	3573
19	254	3567
20	268	3567
21	283	3585
22	298	3599
23	314	3617
24	329	3626
25	344	3625
26	358	3624
27	376	3657
28	390	3651
29	403	3635
30	417	3623
31	430	3601
32	443	3586
33	453	3549
34	465	3528
35	481	3530
36	492	3502
37	503	3472
38	518	3469
39	529	3444
40	539	3410
41	552	3396
42	565	3377
43	575	3347
44	585	3319
45	595	3288
46	605	3257
47	614	3227
48	625	3203
49	635	3175
50	644	3147
51	657	3137
52	670	3124
53	681	3104
54	692	3082
55	703	3063
56	716	3052
57	730	3048
58	745	3045
59	757	3029
60	768	3012
61	781	3000
62	795	2994
63	809	2986
64	822	2975
65	834	2958
66	847	2945
67	859	2931
68	873	2922
69	888	2918
70	903	2915
71	917	2906
72	932	2899
73	945	2888
74	958	2876
75	972	2865
76	982	2845
77	992	2824
78	1003	2806
79	1014	2788
80	1025	2771
81	1035	2752
82	1046	2735
83	1055	2714
84	1066	2696
85	1078	2682
86	1087	2663
87	1100	2651
88	1110	2633
89	1120	2614
90	1131	2598
91	1142	2583
92	1153	2566
93	1163	2549
94	1174	2533
95	1184	2516
96	1194	2500
97	1206	2487
98	1218	2473
99	1230	2460
100	1243	2450
101	1254	2435
102	1265	2420
103	1276	2406
104	1286	2389
105	1296	2372
106	1306	2356
107	1315	2339
108	1327	2326
109	1339	2313
110	1351	2300
111	1361	2284
112	1374	2274
113	1386	2261
114	1396	2247
115	1409	2235
116	1421	2223
117	1433	2211
118	1444	2196
119	1455	2182
120	1465	2167
121	1475	2152
122	1485	2137
123	1496	2124
124	1509	2112
125	1521	2100
126	1532	2087
127	1544	2074
128	1554	2061
129	1565	2046
130	1574	2031
131	1585	2018
132	1596	2004
133	1605	1989
134	1615	1974
135	1625	1960
136	1635	1945
137	1654	1942
138	1677	1943
139	1701	1944
140	1722	1942
141	1739	1935
142	1754	1925
143	1764	1911
144	1774	1897
145	1784	1882
146	1797	1870
147	1806	1855
148	1816	1841
149	1827	1827
150	1837	1812
151	1848	1799
152	1859	1786
153	1870	1773
154	1880	1759
155	1890	1745
156	1900	1731
157	1910	1717
158	1921	1703
159	1931	1690
160	1942	1676
161	1952	1663
162	1963	1650
163	1973	1636
164	1983	1622
165	1993	1609
166	2003	1595
167	2013	1581
168	2023	1568
169	2033	1554
170	2043	1541
171	2053	1527
172	2062	1514
173	2074	1502
174	2084	1488
175	2093	1474
176	2102	1461
177	2111	1447
178	2121	1433
179	2130	1420
180	2139	1406
181	2149	1393
182	2158	1379
183	2167	1366
184	2177	1353
185	2188	1341
186	2198	1328
187	2211	1317
188	2221	1304
189	2233	1292
190	2243	1280
191	2254	1268
192	2265	1256
193	2277	1244
194	2287	1231
195	2298	1219
196	2307	1206
197	2318	1194
198	2328	1182
199	2339	1169
200	2352	1158
201	2363	1146
202	2372	1133
203	2382	1121
204	2393	1109
205	2403	1096
206	2412	1083
207	2422	1071
208	2431	1058
209	2440	1045
210	2449	1033
211	2460	1021
212	2470	1008
213	2479	996
214	2491	985
215	2502	973
216	2513	961
217	2524	949
218	2534	937
219	2545	925
220	2556	913
221	2567	902
222	2578	890
223	2589	878
224	2600	866
225	2611	855
226	2625	844
227	2636	832
228	2647	820
229	2657	808
230	2668	797
231	2679	785
232	2690	773
233	2700	761
234	2710	749
235	2721	738
236	2732	726
237	2742	714
238	2753	702
239	2764	691
240	2774	679
241	2785	667
242	2795	655
243	2806	644
244	2817	632
245	2829	621
246	2839	609
247	2850	597
248	2860	585
249	2871	574
250	2882	562
251	2893	551
252	2905	539
253	2915	528
254	2925	516
255	2935	504
256	2945	492
257	2955	481
258	2966	469
259	2977	458
260	2987	446
261	2998	434
262	3009	423
263	3021	412
264	3034	400
265	3044	389
266	3054	377
267	3064	365
268	3075	354
269	3085	342
270	3095	331
271	3105	319
272	3114	308
273	3124	296
274	3134	284
275	3144	273
276	3154	261
277	3164	250
278	3176	239
279	3187	227
280	3197	216
281	3208	204
282	3218	193
283	3228	181
284	3238	170
285	3248	158
286	3258	147
287	3269	136
288	3280	124
289	3290	113
290	3302	102
291	3314	90
292	3324	79
293	3335	68
294	3344	56
295	3357	45
296	3369	34
297	3380	22
298	3392	11
299	3403	0
